filename	year	genre	screenshot	ngh	name	manu	psize	ssize	msize	v1size	v2size	csize
viewpoinp.neo	1992	7	174	100	Viewpoint (Prototype)	Sammy / Aicom	100000	20000	20000	400000	0	400000
vliner.neo	2001	0	0	3E7	V-Liner (v0.7a)	Dyna / BrezzaSoft	100000	20000	10000	200000	0	400000
vliner53.neo	2001	0	0	3E7	V-Liner (v0.53)	Dyna / BrezzaSoft	100000	20000	10000	200000	0	400000
vliner54.neo	2001	0	0	3E7	V-Liner (v0.54)	Dyna / BrezzaSoft	100000	20000	10000	200000	0	400000
vliner6e.neo	2001	0	0	3E7	V-Liner (v0.6e)	Dyna / BrezzaSoft	100000	20000	10000	200000	0	400000
vliner7e.neo	2001	0	0	3E7	V-Liner (v0.7e)	Dyna / BrezzaSoft	100000	20000	10000	200000	0	400000
wakuwak7.neo	1996	9	176	225	Waku Waku 7	Sunsoft	300000	20000	20000	800000	0	1800000
wh1.neo	1992	9	177	053	World Heroes	Alpha Denshi Co.	100000	20000	20000	300000	0	600000
wh1h.neo	1992	9	177	053	World Heroes (AES)	Alpha Denshi Co.	100000	20000	20000	300000	0	600000
wh1ha.neo	1992	9	177	053	World Heroes (set 3)	Alpha Denshi Co.	100000	20000	20000	300000	0	600000
wh2.neo	1993	9	178	057	World Heroes 2	ADK	200000	20000	20000	400000	0	c00000
wh2h.neo	1993	9	178	057	World Heroes 2 (AES)	ADK	200000	20000	20000	400000	0	c00000
wh2j.neo	1994	9	179	064	World Heroes 2 Jet	ADK / SNK	200000	20000	20000	400000	0	1000000
whp.neo	1995	9	180	090	World Heroes Perfect	ADK / SNK	200000	20000	20000	600000	0	1c00000
wjammers.neo	1994	3	181	065	Windjammers	Data East	100000	20000	20000	400000	0	400000
zedblade.neo	1994	7	182	076	Zed Blade	NMK	80000	20000	20000	500000	0	800000
zintrckb.neo	1996	10	183	211	Zintrick	SNK/ADK	100000	20000	20000	200000	0	400000
zupapa.neo	2001	1	184	070	Zupapa!	SNK	100000	20000	20000	200000	0	1000000
